parish_code,parish_name,parish_slug,grad_overall,grad_black,grad_hispanic,grad_white,grad_econ_disadvantaged,grad_students_w_disabilities,grad_english_learner,equity_gap_white_minus_black,cred_advanced,cred_basic,cred_combined,cred_no_credentials
LA,Louisiana Statewide,louisiana,83.5,80.7,72.4,88.1,78.7,79.1,52.8,7.4,28.8,35.7,64.5,20.5
001,Acadia Parish,acadia,86.0,78.3,82.6,89.2,81.7,76.3,~,10.9,13.7,42.2,56.0,31.0
002,Allen Parish,allen,>95,>95,~,>95,>95,90.9,~,,25.9,41.5,67.4,29.8
003,Ascension Parish,ascension,90.2,87.9,84.3,93.3,84.1,91.0,58.5,5.4,43.9,32.1,75.9,16.1
004,Assumption Parish,assumption,94.9,93.0,~,>95,93.1,~,~,,8.2,47.7,55.9,40.5
005,Avoyelles Parish,avoyelles,95.0,90.9,~,>95,93.9,81.3,NR,,36.5,36.2,72.7,22.9
006,Beauregard Parish,beauregard,93.4,>95,85.0,93.2,89.1,90.9,~,,9.4,43.6,53.0,40.0
007,Bienville Parish,bienville,>95,>95,NR,>95,94.2,~,NR,,12.7,46.5,59.2,33.8
008,Bossier Parish,bossier,88.9,86.1,84.6,91.1,83.1,76.2,60.0,5.0,30.6,38.3,68.9,21.8
009,Caddo Parish,caddo,79.6,79.4,72.4,80.3,74.9,73.9,52.6,0.9,26.5,27.6,54.1,28.5
010,Calcasieu Parish,calcasieu,91.0,85.8,78.3,94.7,85.2,92.3,65.2,8.9,27.1,28.6,55.7,37.5
011,Caldwell Parish,caldwell,>95,>95,~,94.9,>95,~,NR,,16.3,66.3,82.6,12.8
012,Cameron Parish,cameron,>95,~,~,>95,93.5,~,~,,21.7,30.1,51.8,47.0
013,Catahoula Parish,catahoula,84.5,73.7,~,88.0,83.6,~,NR,14.3,<5,63.3,63.3,26.6
014,Claiborne Parish,claiborne,93.3,92.9,~,92.9,93.3,93.3,NR,0.0,19.6,52.7,72.3,21.4
015,Concordia Parish,concordia,82.1,85.6,~,78.8,79.9,72.7,~,-6.8,<5,66.8,68.4,18.2
016,DeSoto Parish,desoto,>95,>95,~,>95,>95,>95,~,,72.6,20.2,92.9,<5
017,East Baton Rouge Parish,east-baton-rouge,73.7,73.9,53.3,84.7,67.4,76.4,38.3,10.8,27.4,34.3,61.7,14.7
018,East Carroll Parish,east-carroll,93.8,93.6,~,NR,93.6,~,NR,,<5,93.5,93.5,<5
019,East Feliciana Parish,east-feliciana,89.6,94.4,~,81.0,88.3,91.7,NR,-13.4,15.4,41.9,57.4,24.3
020,Evangeline Parish,evangeline,83.4,76.9,~,87.3,80.8,84.6,~,10.4,13.5,53.9,67.4,20.4
021,Franklin Parish,franklin,93.7,88.7,~,>95,93.8,90.5,NR,,10.5,45.1,55.6,38.3
022,Grant Parish,grant,>95,>95,~,>95,>95,94.4,NR,,22.9,68.6,91.4,<5
023,Iberia Parish,iberia,77.4,75.6,71.8,79.4,71.7,69.1,57.1,3.8,28.0,37.3,65.3,18.8
024,Iberville Parish,iberville,84.1,85.0,~,82.4,81.6,94.7,~,-2.6,16.2,42.3,58.5,30.5
025,Jackson Parish,jackson,92.6,90.2,~,92.9,90.8,~,~,2.7,22.4,52.4,74.8,15.0
026,Jefferson Parish,jefferson,76.3,79.6,65.6,83.4,72.3,81.5,48.9,3.8,46.7,22.3,69.0,8.0
027,Jefferson Davis Parish,jefferson-davis,>95,>95,>95,>95,92.8,>95,~,,22.7,55.6,78.3,18.3
028,Lafayette Parish,lafayette,83.9,80.8,72.5,87.7,76.3,76.4,53.3,6.9,28.5,43.3,71.8,13.3
029,Lafourche Parish,lafourche,90.4,86.4,89.2,91.8,87.1,86.0,53.8,5.4,35.0,42.1,77.1,13.3
030,LaSalle Parish,lasalle,>95,94.7,~,>95,>95,75.0,NR,,12.7,58.0,70.7,24.2
031,Lincoln Parish,lincoln,>95,>95,87.0,>95,>95,91.3,~,,32.7,32.5,65.2,30.1
032,Livingston Parish,livingston,93.6,93.5,93.9,93.3,91.7,88.1,88.9,-0.2,72.2,14.9,87.1,5.7
033,Madison Parish,madison,82.2,83.1,NR,~,81.9,81.8,NR,,<5,43.4,44.7,36.8
034,Morehouse Parish,morehouse,84.5,84.1,~,84.6,82.5,82.1,~,0.5,<5,50.2,53.6,34.9
035,Natchitoches Parish,natchitoches,86.3,85.4,~,89.5,86.2,85.7,~,4.1,35.9,40.1,76.0,13.3
037,Ouachita Parish,ouachita,86.7,85.6,74.0,87.9,81.1,80.7,54.2,2.3,25.0,50.2,75.1,16.5
038,Plaquemines Parish,plaquemines,94.7,94.0,88.2,>95,93.7,>95,~,,50.0,39.7,89.7,6.0
039,Pointe Coupee Parish,pointe-coupee,70.4,75.3,50.0,70.6,67.6,78.3,45.5,-4.7,<5,58.8,63.2,18.1
040,Rapides Parish,rapides,85.8,80.8,85.9,89.5,83.0,69.6,66.7,8.7,37.7,33.5,71.2,16.7
041,Red River Parish,red-river,>95,>95,~,>95,>95,~,~,,29.2,60.7,89.9,6.7
042,Richland Parish,richland,79.1,84.0,~,72.2,75.8,63.2,NR,-11.8,<5,36.1,36.1,48.6
043,Sabine Parish,sabine,>95,>95,~,>95,>95,>95,~,,25.6,63.2,88.8,9.0
044,St. Bernard Parish,st-bernard,88.4,93.2,80.6,87.6,86.0,93.2,56.4,-5.6,27.1,50.7,77.8,13.0
045,St. Charles Parish,st-charles,91.7,93.1,86.7,91.9,86.5,93.9,53.8,-1.2,28.8,44.2,73.0,16.3
046,St. Helena Parish,st-helena,85.9,88.5,~,~,87.8,80.0,NR,,<5,72.5,72.5,<5
047,St. James Parish,st-james,87.1,83.7,~,93.4,81.2,69.6,~,9.7,26.7,43.3,70.0,19.4
048,St. John the Baptist Parish,st-john-the-baptist,72.7,75.2,65.2,67.4,71.4,62.2,42.9,-7.8,<5,50.4,53.2,22.7
049,St. Landry Parish,st-landry,79.9,77.6,82.8,84.0,75.3,78.6,75.0,6.4,23.8,42.7,66.5,12.1
050,St. Martin Parish,st-martin,75.4,74.1,65.0,78.0,70.1,66.7,~,3.9,12.4,49.7,62.0,23.9
051,St. Mary Parish,st-mary,92.4,93.1,89.9,91.9,90.7,90.4,77.8,-1.2,46.1,30.7,76.8,15.8
052,St. Tammany Parish,st-tammany,81.3,77.9,68.9,84.1,70.6,78.5,36.2,6.2,31.4,37.2,68.6,14.1
053,Tangipahoa Parish,tangipahoa,76.9,76.9,74.8,77.0,72.1,77.9,52.5,0.1,20.4,31.2,51.5,28.6
054,Tensas Parish,tensas,85.7,85.7,NR,NR,84.6,~,NR,,<5,47.6,47.6,47.6
055,Terrebonne Parish,terrebonne,80.9,77.2,75.7,85.3,76.6,78.9,62.5,8.1,19.6,40.0,59.7,24.1
056,Union Parish,union,81.8,85.9,91.3,70.8,79.7,88.2,~,-15.1,16.0,38.3,54.3,31.9
057,Vermilion Parish,vermilion,91.9,80.3,>95,>95,87.2,82.1,~,,26.9,46.9,73.8,21.3
058,Vernon Parish,vernon,>95,93.9,>95,>95,94.8,93.0,~,,44.7,43.1,87.8,11.7
059,Washington Parish,washington,84.7,84.3,90.0,84.1,81.7,87.5,~,-0.2,24.7,43.2,67.9,15.3
060,Webster Parish,webster,88.6,85.3,>95,90.1,86.2,90.9,~,4.8,9.9,31.4,41.3,47.1
061,West Baton Rouge Parish,west-baton-rouge,90.4,89.5,84.6,91.9,90.5,81.0,~,2.4,34.7,34.7,69.5,20.0
062,West Carroll Parish,west-carroll,>95,>95,~,93.9,93.9,~,~,,9.6,40.4,50.0,45.2
063,West Feliciana Parish,west-feliciana,92.7,92.3,~,92.1,85.5,~,~,-0.2,80.5,11.3,91.7,<5
064,Winn Parish,winn,83.0,83.0,~,83.9,79.2,77.8,NR,0.9,12.2,64.0,76.2,6.4
